instr_text,textStim,textStimPos,correKey,LearnC_repeatIF.thisRepN,LearnC_repeatIF.thisTrialN,LearnC_repeatIF.thisN,LearnC_repeatIF.thisIndex,Learn_com_24x1.thisRepN,Learn_com_24x1.thisTrialN,Learn_com_24x1.thisN,Learn_com_24x1.thisIndex,TestC_repeatIF.thisRepN,TestC_repeatIF.thisTrialN,TestC_repeatIF.thisN,TestC_repeatIF.thisIndex,Test_com_24x6.thisRepN,Test_com_24x6.thisTrialN,Test_com_24x6.thisN,Test_com_24x6.thisIndex,LearnI_repeatIF.thisRepN,LearnI_repeatIF.thisTrialN,LearnI_repeatIF.thisN,LearnI_repeatIF.thisIndex,Learn_incom_24x1.thisRepN,Learn_incom_24x1.thisTrialN,Learn_incom_24x1.thisN,Learn_incom_24x1.thisIndex,TestI_repeatIF.thisRepN,TestI_repeatIF.thisTrialN,TestI_repeatIF.thisN,TestI_repeatIF.thisIndex,Test_incom_24x6.thisRepN,Test_incom_24x6.thisTrialN,Test_incom_24x6.thisN,Test_incom_24x6.thisIndex,instr_start.started,key_start.started,key_start.keys,key_start.rt,instr_above.started,Stim_R.started,lines_R.started,note1_R.started,note2_R.started,instr_R.started,Stim_L.started,lines_L.started,note1_L.started,note2_L.started,instr_L.started,key_continue.started,instr_contin.started,key_continue.keys,key_continue.rt,instr_ask.started,ask_learn.started,ask_learn.keys,ask_learn.rt,Stim_learn.started,lines_learn.started,note1_learn.started,note2_learn.started,Resp_learn.started,Resp_learn.keys,Resp_learn.corr,Resp_learn.rt,text_judge.started,text_judge.stopped,congra_ask.started,ask_test.started,ask_test.keys,ask_test.rt,Stim.started,lines.started,note2.started,note1.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,above_instr.started,R_stim.started,R_lines.started,R_note1.started,R_note2.started,R_instr.started,L_stim.started,L_lines.started,L_note1.started,L_note2.started,L_instr.started,continue_key.started,contin_instr.started,continue_key.keys,continue_key.rt,text_jd2.started,text_jd2.stopped,text_fb2.started,text_fb2.stopped,text_end.started,text_end.stopped,participant,gender,education,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.544148800021503,30.544148800021503,space,11.088783599960152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,41.6589629999944,space,59.15029179997509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,忧郁,"(0.0, -0.15)",f,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.84045120002702,100.84045120002702,space,5.391454799973872,106.26450350001687,106.26450350001687,106.26450350001687,106.26450350001687,106.26450350001687,f,1,12.294000299996696,118.57194049999816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,愉快,"(0.0, 0.3)",f,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.07857100002002,119.07857100002002,119.07857100002002,119.07857100002002,119.07857100002002,f,1,4.623331899987534,123.71804170001997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,伤心,"(0.0, 0.3)",j,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.23045670002466,124.23045670002466,124.23045670002466,124.23045670002466,124.23045670002466,j,1,2.9139423000160605,127.15976569999475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,高兴,"(0.0, 0.3)",f,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.66961420001462,127.66961420001462,127.66961420001462,127.66961420001462,127.66961420001462,f,1,2.052240199991502,129.73500490002334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,伤心,"(0.0, -0.15)",f,0,0,0,0,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2419888000004,130.2419888000004,130.2419888000004,130.2419888000004,130.2419888000004,j,0,2.2001783999730833,132.4608220999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,愁苦,"(0.0, 0.3)",j,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.9736494999961,132.9736494999961,132.9736494999961,132.9736494999961,132.9736494999961,j,1,8.341151800006628,141.333971199987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,快乐,"(0.0, 0.3)",f,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.84478330001002,141.84478330001002,141.84478330001002,141.84478330001002,141.84478330001002,f,1,2.3015258999657817,144.16244540002663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,欣喜,"(0.0, 0.3)",f,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.67071039997973,144.67071039997973,144.67071039997973,144.67071039997973,144.67071039997973,f,1,2.5734880000236444,147.25953829998616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
