instr_text,textStim,textStimPos,correKey,LearnC_repeatIF.thisRepN,LearnC_repeatIF.thisTrialN,LearnC_repeatIF.thisN,LearnC_repeatIF.thisIndex,Learn_com_24x1.thisRepN,Learn_com_24x1.thisTrialN,Learn_com_24x1.thisN,Learn_com_24x1.thisIndex,TestC_repeatIF.thisRepN,TestC_repeatIF.thisTrialN,TestC_repeatIF.thisN,TestC_repeatIF.thisIndex,Test_com_24x6.thisRepN,Test_com_24x6.thisTrialN,Test_com_24x6.thisN,Test_com_24x6.thisIndex,LearnI_repeatIF.thisRepN,LearnI_repeatIF.thisTrialN,LearnI_repeatIF.thisN,LearnI_repeatIF.thisIndex,Learn_incom_24x1.thisRepN,Learn_incom_24x1.thisTrialN,Learn_incom_24x1.thisN,Learn_incom_24x1.thisIndex,TestI_repeatIF.thisRepN,TestI_repeatIF.thisTrialN,TestI_repeatIF.thisN,TestI_repeatIF.thisIndex,Test_incom_24x6.thisRepN,Test_incom_24x6.thisTrialN,Test_incom_24x6.thisN,Test_incom_24x6.thisIndex,instr_start.started,key_start.started,key_start.keys,key_start.rt,instr_above.started,Stim_R.started,lines_R.started,note1_R.started,note2_R.started,instr_R.started,Stim_L.started,lines_L.started,note1_L.started,note2_L.started,instr_L.started,key_continue.started,instr_contin.started,key_continue.keys,key_continue.rt,instr_ask.started,ask_learn.started,ask_learn.keys,ask_learn.rt,Stim_learn.started,lines_learn.started,note1_learn.started,note2_learn.started,Resp_learn.started,Resp_learn.keys,Resp_learn.corr,Resp_learn.rt,text_judge.started,text_judge.stopped,congra_ask.started,ask_test.started,ask_test.keys,ask_test.rt,Stim.started,lines.started,note2.started,note1.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,above_instr.started,R_stim.started,R_lines.started,R_note1.started,R_note2.started,R_instr.started,L_stim.started,L_lines.started,L_note1.started,L_note2.started,L_instr.started,continue_key.started,contin_instr.started,continue_key.keys,continue_key.rt,text_jd2.started,text_jd2.stopped,text_fb2.started,text_fb2.stopped,text_end.started,text_end.stopped,participant,gender,education,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.38078860001406,47.38078860001406,space,0.6565901000285521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,48.063419400015846,space,5.201471199980006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,欣喜,"(0.0, -0.15)",j,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.34243030002108,53.34243030002108,space,1.4570766999968328,54.85845960001461,54.85845960001461,54.85845960001461,54.85845960001461,54.85845960001461,j,1,4.087110199965537,58.96556500002043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,难过,"(0.0, 0.3)",j,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.47321240004385,59.47321240004385,59.47321240004385,59.47321240004385,59.47321240004385,j,1,1.426739600021392,60.91594710003119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,伤心,"(0.0, 0.3)",j,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.43325920001371,61.43325920001371,61.43325920001371,61.43325920001371,61.43325920001371,j,1,0.5755251999944448,62.022846800042316,62.52667940000538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,愉快,"(0.0, -0.15)",j,0,0,0,0,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.52667940000538,62.52667940000538,62.52667940000538,62.52667940000538,62.52667940000538,j,1,0.9340006000129506,63.47343740001088,63.976154200034216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,伤心,"(0.0, -0.15)",f,0,0,0,0,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.976154200034216,63.976154200034216,63.976154200034216,63.976154200034216,63.976154200034216,f,1,1.227644600032363,65.21441780001624,65.72264730004827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,高兴,"(0.0, -0.15)",j,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.72264730004827,65.72264730004827,65.72264730004827,65.72264730004827,65.72264730004827,j,1,0.6789775000070222,66.41908660001354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,忧郁,"(0.0, 0.3)",j,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9529099999927,66.9529099999927,66.9529099999927,66.9529099999927,66.9529099999927,j,1,0.986975000007078,67.94765780004673,68.4507248000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,高兴,"(0.0, 0.3)",f,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4507248000009,68.4507248000009,68.4507248000009,68.4507248000009,68.4507248000009,f,1,0.6573982000118122,69.12281620001886,69.63260100001935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,悲伤,"(0.0, -0.15)",f,0,0,0,0,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.63260100001935,69.63260100001935,69.63260100001935,69.63260100001935,69.63260100001935,f,1,3.086793700000271,72.73104800004512,73.23764880001545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,喜悦,"(0.0, 0.3)",f,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.23764880001545,73.23764880001545,73.23764880001545,73.23764880001545,73.23764880001545,f,1,0.5907703000120819,73.84008300001733,74.34371510002529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,忧郁,"(0.0, -0.15)",f,0,0,0,0,0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.34371510002529,74.34371510002529,74.34371510002529,74.34371510002529,74.34371510002529,f,1,0.8202217000070959,75.17669330001809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,愉悦,"(0.0, 0.3)",f,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.68426579999505,75.68426579999505,75.68426579999505,75.68426579999505,75.68426579999505,f,1,0.4782619000179693,76.17460880003637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
~请按空格键进入练习阶段~,快乐,"(0.0, -0.15)",j,0,0,0,0,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6882969000144,76.6882969000144,76.6882969000144,76.6882969000144,76.6882969000144,j,1,0.632448399963323,77.33194850001018,77.83697330002906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lkx,女,研究生及以上,21,001,2023-06-24_16h13.25.381,nalin_IRAP,2023.1.2,120.13094268969822,
